feature,feature_group
channel_sales,A0 기본 Feature
cons_12m,A0 기본 Feature
cons_gas_12m,A0 기본 Feature
cons_last_month,A0 기본 Feature
forecast_cons_12m,A0 기본 Feature
forecast_cons_year,A0 기본 Feature
forecast_discount_energy,A0 기본 Feature
forecast_meter_rent_12m,A0 기본 Feature
forecast_price_energy_off_peak,A0 기본 Feature
forecast_price_energy_peak,A0 기본 Feature
forecast_price_pow_off_peak,A0 기본 Feature
has_gas,A0 기본 Feature
imp_cons,A0 기본 Feature
margin_net_pow_ele,A0 기본 Feature
nb_prod_act,A0 기본 Feature
net_margin,A0 기본 Feature
num_years_antig,A0 기본 Feature
origin_up,A0 기본 Feature
pow_max,A0 기본 Feature
contract_end_within_3m,A0 기본 Feature
recent_consumption_change_log,A0 기본 Feature
off_peak_energy_recent_change_rate,A0 기본 Feature
off_peak_power_recent_change_rate,A0 기본 Feature
forecast_off_peak_energy_change,A0 기본 Feature
forecast_off_peak_power_change,A0 기본 Feature
contract_tenure_days,A3 계약 Feature
total_contract_days,A3 계약 Feature
days_until_contract_end,A3 계약 Feature
days_until_renewal,A3 계약 Feature
days_since_product_modification,A3 계약 Feature
renewal_end_gap_days,A3 계약 Feature
modified_within_3m,A3 계약 Feature
renewal_within_3m,A3 계약 Feature
contract_age_ratio,A3 계약 Feature
contract_end_before_reference,A3 계약 Feature
renewal_before_reference,A3 계약 Feature
modification_after_reference,A3 계약 Feature
