feature_set,model,feature_count,oof_pr_auc,oof_roc_auc,fold_pr_auc_mean,fold_pr_auc_std,fold_roc_auc_mean,fold_roc_auc_std,threshold_from_oof_f2,precision,recall,f1,f2,balanced_accuracy,predicted_positive_count,positive_rate,top_10pct_count,top_10pct_precision,top_10pct_recall,top_10pct_lift
A3_contract_dates,LightGBM,37,0.2911726898839725,0.699991606194378,0.2959132773129445,0.008767436955416203,0.7001809751134124,0.01728383836898969,0.2875530867670243,0.15945478147987885,0.6493392070484582,0.25603612992878233,0.4022047587862912,0.6405289266828222,4622,0.09714138993495379,1169,0.30624465355004277,0.31541850220264317,3.1525661075583256
A3_contract_dates,RandomForest,37,0.2782535970546972,0.7070486669509146,0.2815258564024938,0.019583907577705003,0.7069282630571274,0.006861604083595079,0.1262743082071111,0.16087489779231398,0.6933920704845815,0.2611581217852995,0.41719677692960133,0.6521278297251801,4892,0.09714138993495379,1169,0.290846877673225,0.29955947136563876,2.994057197122432
A0_baseline,LightGBM,25,0.26790708712836675,0.685902206735674,0.2717324055716442,0.018878577081153276,0.6859637473025852,0.01243200631256157,0.25246794439672676,0.13880826361618576,0.7162995594713656,0.23255148741418763,0.39097816677887853,0.6190749859163635,5857,0.09714138993495379,1169,0.2865697177074423,0.29515418502202645,2.950026944223573
A2_price_timeseries,LightGBM,82,0.2601929988667195,0.6827394541854814,0.26260633565114316,0.01615420608339522,0.6825236225596429,0.013800763079674674,0.21895906981257304,0.1358669833729216,0.7559471365638767,0.23033557046979866,0.39520958083832336,0.6193234592668658,6315,0.09714138993495379,1169,0.2703165098374679,0.27841409691629954,2.7827119832079075
A4_ratio_exposure,RandomForest,37,0.25883369457865274,0.6927559787072954,0.26133935263292263,0.023717712277087574,0.6924556458687483,0.01781412174292014,0.13402354924493506,0.15804409517572582,0.6378854625550661,0.25332400279916023,0.39688630632606076,0.6361291944493976,4581,0.09714138993495379,1169,0.2728828058169376,0.28105726872246695,2.8091301349472233
A0_baseline,RandomForest,25,0.2587573662970911,0.6942532498852637,0.261216054383295,0.020591409473426418,0.6942072573879863,0.01921560593523963,0.12274939860416023,0.14854545454545454,0.7198237885462555,0.24626978146194423,0.4068725099601594,0.6379477270534861,5500,0.09714138993495379,1169,0.2609067579127459,0.2687224669603524,2.685845426830417
A4_ratio_exposure,LightGBM,37,0.257031880867654,0.6774567019526665,0.25948825049439395,0.012900337059561777,0.6776816994876581,0.014368579251783234,0.25527872108592203,0.14312130177514792,0.6819383259911894,0.23658872077028886,0.38902291917973464,0.6213274907991779,5408,0.09714138993495379,1169,0.281437125748503,0.28986784140969163,2.8971906407449417
A1_2_without_forecast,RandomForest,16,0.25386240887841827,0.6952031280080413,0.2562295920019534,0.015590287691722148,0.6950308701876704,0.014975959387245235,0.12497032270266933,0.14328259430840504,0.7629955947136564,0.24125922830477783,0.40910808767951623,0.6360716906168529,6044,0.09714138993495379,1169,0.2617621899059025,0.2696035242290749,2.694651477410189
A1_1_without_contract_end,LightGBM,24,0.2521959257809352,0.6788708702789541,0.2549713002092753,0.00882271247659424,0.6789452552647919,0.014110908519877728,0.23408952715928993,0.13280766852195425,0.7568281938325991,0.22596343548599238,0.3901707848837209,0.612559513543468,6468,0.09714138993495379,1169,0.2660393498716852,0.2740088105726872,2.738681730309048
A1_1_without_contract_end,RandomForest,24,0.25218131628525253,0.6941482646746482,0.25443734105402255,0.020499765190144324,0.6941582156502991,0.019466829589916315,0.1357093402576281,0.15917761763459093,0.6616740088105727,0.2566205364770203,0.4055951609418881,0.642809703239299,4718,0.09714138993495379,1169,0.2609067579127459,0.2687224669603524,2.685845426830417
A1_2_without_forecast,LightGBM,16,0.2516194582728394,0.6880653029725347,0.2561454175577868,0.018686796432394716,0.6880130041969209,0.011868878173765845,0.26641788400324345,0.141431520991053,0.7242290748898679,0.2366489131999424,0.39702472952086554,0.6255992279369237,5812,0.09714138993495379,1169,0.2788708297690334,0.2872246696035242,2.8707724890056263
A1_3_without_contract_and_forecast,RandomForest,15,0.2505404622803385,0.6929996913919226,0.2542158028941316,0.018055714706921248,0.6928783474076609,0.017101528838282795,0.12189782184045053,0.1399130574786669,0.7656387665198238,0.23659134222706235,0.40414845130685517,0.6296200278707755,6211,0.09714138993495379,1169,0.2609067579127459,0.2687224669603524,2.685845426830417
A1_3_without_contract_and_forecast,LightGBM,15,0.24383784200298883,0.6841476925595387,0.24793989559767254,0.022527980559486262,0.6842568106350148,0.012457611792851446,0.22029611960252368,0.12927702219040801,0.7955947136563877,0.22241379310344828,0.39175704989154014,0.609523586802599,6985,0.09714138993495379,1169,0.2754491017964072,0.28370044052863436,2.8355482866865387
A2_price_timeseries,RandomForest,82,0.22804076015768746,0.6731393626470639,0.22998235383307652,0.01567136464538532,0.6731791537065573,0.01350667123995081,0.1253538666188017,0.14556845402616547,0.6960352422907489,0.24078024992380373,0.396307815792114,0.6282337553761073,5427,0.09714138993495379,1169,0.23182207014542344,0.23876651982378855,2.386439707118174
