feature,category,customer_count,churn_count,churn_rate
channel_sales,MISSING,2975,234,0.07865546218487394
channel_sales,epumfxlbckeskwekxbiuasklxalciiuu,3,0,0.0
channel_sales,ewpakwlliwisiwduibdlfmalxowmwpci,710,52,0.07323943661971831
channel_sales,fixdbufsefwooaasfcxdxadsiekoceaa,1,0,0.0
channel_sales,foosdfpfkusacimwkcsosbicdxkicaua,5400,657,0.12166666666666667
channel_sales,lmkebamcaaclubfxadlmueccxoimlema,1485,79,0.0531986531986532
channel_sales,sddiedcslfslkckwlfkdpoeeailfpeds,9,0,0.0
channel_sales,usilxuppasemubllopkaafesmlibmsdf,1101,113,0.10263396911898275
has_gas,f,9555,951,0.09952904238618525
has_gas,t,2129,184,0.08642555190230156
origin_up,MISSING,53,4,0.07547169811320754
origin_up,kamkkxfxxuwbdslkwifmmcsiusiuosws,3414,205,0.06004686584651435
origin_up,ldkssxwpmemidmecebumciepifcamkci,2526,210,0.0831353919239905
origin_up,lxidpiddsbxsbosboudacockeimpuepw,5689,716,0.12585691685709263
origin_up,usapbepcfoloekilkwsdiboslwaxobdp,2,0,0.0
