original_feature,gain,importance_pct,feature_label
margin_net_pow_ele,11585.516006844584,11.10436580236825,전력 계약 순마진
pow_max,6968.335451618186,6.678938240011472,최대 계약전력
recent_consumption_change_log,6911.4686131897615,6.624433099665514,최근 소비 변화
forecast_meter_rent_12m,6381.788660155144,6.116750925371097,예측 계량기 임대료
cons_12m,6001.341705553612,5.752104055106835,최근 12개월 전기 소비량
net_margin,5734.0703000202775,5.495932516972333,고객 순마진
days_until_contract_end,5223.316783762188,5.006390758450317,계약 종료까지 남은 기간
contract_age_ratio,5157.259386210004,4.94307674585575,계약 생애주기 진행률
off_peak_energy_recent_change_rate,4871.477210526355,4.669163195806441,최근 에너지 가격 변화
days_since_product_modification,4418.0207429090515,4.2345389210743125,상품 변경 후 경과 기간
contract_tenure_days,4236.486831428483,4.060544171300194,계약 유지 기간
forecast_cons_12m,4193.198951672646,4.0190540511075525,향후 12개월 예측 소비량
cons_last_month,4032.4420046585146,3.864973391785842,최근 1개월 전기 소비량
days_until_renewal,3312.313156642951,3.174751726347843,계약 갱신까지 남은 기간
off_peak_power_recent_change_rate,2965.734670819831,2.8425667564650032,최근 전력 가격 변화
forecast_price_energy_off_peak,2745.4739902853034,2.631453572806288,예측 비첨두 에너지 가격
forecast_off_peak_energy_change,2616.2423199694604,2.507588935306295,예측 에너지 가격 변화
origin_up,2543.8434945717454,2.4381968564033736,계약 유입 경로
total_contract_days,2159.526368583087,2.069840544213941,전체 계약 기간
forecast_price_energy_peak,1991.3069788906723,1.9086073598575317,예측 첨두 에너지 가격
renewal_end_gap_days,1903.3747910745442,1.824327024071368,갱신일-계약종료일 간격
cons_gas_12m,1775.4035943914205,1.7016705123288882,최근 12개월 가스 소비량
channel_sales,1599.280954927206,1.5328623027045751,판매 채널
imp_cons,1493.976676126942,1.4319313444579271,현재 유료 소비 관련 값
forecast_cons_year,1388.362727311207,1.3307035768911086,다음 연도 예측 소비량
forecast_off_peak_power_change,995.0015267692506,0.9536787934722223,예측 전력 가격 변화
forecast_discount_energy,441.3040534853935,0.4229765542660848,예측 에너지 할인 수준
forecast_price_pow_off_peak,221.23160684108734,0.21204378708361338,예측 비첨두 전력 가격
nb_prod_act,221.19372203946114,0.2120074756499786,활성 상품 수
num_years_antig,104.92360499501228,0.10056609394691403,고객 유지 연차
has_gas,63.587554931640625,0.06094674333210256,가스 상품 보유 여부
renewal_within_3m,37.33456039428711,0.03578404409815211,3개월 내 갱신 예정
modified_within_3m,29.176373064517975,0.027964668911023467,최근 3개월 내 상품 변경
renewal_before_reference,5.419519901275635,0.005194445497414659,기준일 이전 갱신
contract_end_within_3m,4.247403025627136,0.004071007012444249,3개월 내 계약 종료 예정
contract_end_before_reference,0.0,0.0,기준일 이전 계약 종료
modification_after_reference,0.0,0.0,기준일 이후 상품 변경일
