id,channel_sales,cons_12m,cons_gas_12m,cons_last_month,forecast_cons_12m,forecast_cons_year,forecast_discount_energy,forecast_meter_rent_12m,forecast_price_energy_off_peak,forecast_price_energy_peak,forecast_price_pow_off_peak,has_gas,imp_cons,margin_net_pow_ele,nb_prod_act,net_margin,num_years_antig,origin_up,pow_max,contract_end_within_3m,recent_consumption_change_log,off_peak_energy_recent_change_rate,off_peak_power_recent_change_rate,forecast_off_peak_energy_change,forecast_off_peak_power_change,churn
ec2105d56ed5123bd5dffa6bc05a4aeb,foosdfpfkusacimwkcsosbicdxkicaua,16270,0,0,2391.99,0,0.0,15.13,0.142819,0.0,44.31137796,f,0.0,16.03,1,195.34,6,lxidpiddsbxsbosboudacockeimpuepw,12.7,0.0,-7.2129088323459225,-0.0199031109993928,0.0031208256658330777,-0.012992487854097077,-0.0029999520779861962,0
14da1c1e66c21ea1b6eb6ed88a2cbeb4,MISSING,44911,18084,14522,6587.62,14522,0.0,17.6,0.142819,0.0,44.31137796,t,2101.32,16.66,2,648.64,7,ldkssxwpmemidmecebumciepifcamkci,13.2,0.0,1.3556903363772097,-0.0199031109993928,0.0031208317033054075,-0.012992487854097077,-0.0029999520779861962,0
42421472d685fd609320113aed1c966a,MISSING,15011,0,0,1447.18,0,0.0,16.02,0.162133,0.0834879999999999,44.31137796,f,0.0,6.45,1,101.27,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,13.856,0.0,-7.1324309892744235,-0.021275032494987113,0.002677381633328089,-0.012119033401981397,-0.0029999520779861962,0
58dddc70c38be308ef7e0d4576d9abeb,MISSING,36927,5371,2947,3755.16,2947,0.0,131.38,0.115174,0.098837,40.606701,t,293.74,13.72,2,408.46,11,ldkssxwpmemidmecebumciepifcamkci,15.001,0.0,-0.04323427936375435,-0.04914165046998703,0.0026737879051780397,-0.025394541992807308,-0.0029999348128483556,0
471a911d1a509d0ab960f79893d7f89f,usilxuppasemubllopkaafesmlibmsdf,17760,0,0,1804.57,0,0.0,119.41,0.1165089999999999,0.101397,40.606701,f,0.0,14.6,1,243.13,3,lxidpiddsbxsbosboudacockeimpuepw,43.648,0.0,-7.300472814267799,-0.06421632704923556,0.002677367195278002,-0.025143497832890632,-0.0029999348128483556,0
43a7d20dc3e589a2f67a207c609cb7cf,foosdfpfkusacimwkcsosbicdxkicaua,5149,0,1197,769.88,1197,0.0,18.47,0.144039,0.0,45.80687796,f,172.91,17.76,1,69.57,4,lxidpiddsbxsbosboudacockeimpuepw,11.42,0.0,1.0244297903146675,-0.04575296699169007,-1.5060151122876614e-08,-0.003355844012067291,0.03478777501379729,0
26ddb7da00328c2cd9899266d7767eec,foosdfpfkusacimwkcsosbicdxkicaua,9972,0,840,990.08,840,0.0,132.17,0.1169099999999999,0.100572,40.606701,f,81.58,27.19,1,126.38,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,15.001,1.0,0.010759219151739607,-0.05542582874427169,0.0013351139770103224,-0.025067547283098936,-0.0029999348128483556,0
8372038cdba08744eeb3f09baafc2fcf,ewpakwlliwisiwduibdlfmalxowmwpci,14043,0,3672,2066.02,3672,0.0,16.76,0.143166,0.0,44.31137796,f,532.61,15.96,1,166.27,5,kamkkxfxxuwbdslkwifmmcsiusiuosws,15.0,0.0,1.142937212267035,-0.017291569588216815,0.003568256945155915,-0.012968210304246358,-0.0029999520779861962,0
61c8d7d1fe064b7d3e7743ab35833d92,MISSING,83587,0,3455,1016.47,0,0.0,16.28,0.144963,0.0,44.31137796,f,0.0,26.04,1,103.95,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,10.392,1.0,-0.701013057566815,-0.029790109157277637,-1.5987116045972285e-16,-0.012816234805407027,-0.0029999520779861962,0
e3fa51db579d592a5dcf3ebd7d4801c7,MISSING,1154,0,0,173.14,0,0.0,18.78,0.146348,0.0,46.30537836,f,0.0,27.44,1,16.65,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,13.2,0.0,-4.576427717122438,-0.018319932792001125,0.03279769318072956,-0.01275642712106803,-0.0029999541157651674,0
8f7525faa5f8c20b8936b7aca39999ea,foosdfpfkusacimwkcsosbicdxkicaua,21032,0,1917,1127.51,693,0.0,17.81,0.146694,0.0,44.31137796,f,102.86,21.48,1,102.98,3,lxidpiddsbxsbosboudacockeimpuepw,10.392,0.0,0.08957414238068662,-0.014702750972754107,-1.5987116045972285e-16,-0.012733366535205234,-0.0029999520779861962,0
7a0821271fc711eab48ffcb8241fd300,foosdfpfkusacimwkcsosbicdxkicaua,7540,0,0,471.59,0,0.0,18.47,0.144902,0.0,44.31137796,f,0.0,21.11,1,43.25,5,lxidpiddsbxsbosboudacockeimpuepw,15.0,0.0,-6.444661058037337,-0.01705488186878961,0.0035682539237261463,-0.01284846172711665,-0.0029999520779861962,0
757f325721b31ef8e7e3b52b77b93c9e,foosdfpfkusacimwkcsosbicdxkicaua,5436,0,0,816.33,0,0.0,18.37,0.142649,0.0,44.31137796,f,0.0,37.56,1,85.43,3,lxidpiddsbxsbosboudacockeimpuepw,15.0,0.0,-6.118097198041348,-0.041168262367013625,-1.2048120998795882e-08,-0.009010323315687777,0.0010040904133213288,1
69a52bc75122b4bfb468ed3d65e45595,foosdfpfkusacimwkcsosbicdxkicaua,24391,0,2743,630.58,694,0.0,144.34,0.1152369999999999,0.100123,41.1052014,f,69.64,23.85,1,70.75,6,lxidpiddsbxsbosboudacockeimpuepw,15.3,0.0,0.29961728409064303,-0.05356909342164325,0.005447245426468367,-0.0253810111808395,-0.0029999355742953053,0
